///Security code: RSH_FOR_ADMIN_ACESS
=============================================================cpp_students_file.csv
ID(RSHCPP-) :                 NAME:                         GENDER:        EMAIL:                                  AGE:
SFuckyou                      Pisey                         m              pisey@gmail.com                         20
S9488                         Pisey                         m              piseyss                                 12
S5276                         ad                            adf            aasdf                                   15
S2455                         Unknown                       Unknown        N/A                                     0
S1711                         pisey                         adsf           asdf                                    12
S1423                         adf                           aasadf         adf                                     123
S2216                         Unknown                       Unknown        N/A                                     0
S8576                         kisey                         m              pisey@gmail.com                         12
S1892                         adf                           adf            asdf                                    15
S7954                         adf                           asdf           asdf                                    12
S3123                         adf                           asdf           asdf                                    12
S3411                         asdf                          adf            asd                                     12
S3874                         pisey                         adf            asdf                                    12
S2779                         adf                           mmmm           sss                                     12
S3198                         adf                           asdf           asdf                                    12
S6502                         Roth                          male           ratana.soy@gmail.com                    20
S8602                         roth                          male           ratana@gmail.com                        20
